id,trial,AgeGroup,age_yr,age_mo,question_cond,quality_cond,exposure_cond,n_attempts_color,n_attempts_head,n_attempts_legs,exp_answer_response,exp_answer_correct,trial_index,trial_type,hint_a,hint_b,hint_c,r_shape,r_legs,b_shape,b_legs,p_shape,p_legs,question,question_program,question_abstracted_idealized,notes,EIG,entropy,question_standard
1053,1,Kids,8,101,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do any of the monsters have a square head?,(any (map (lambda x0 (== (shape x0) Square)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.8112781244591324,6.754887502163456,Do any of the monsters have a square head?
1053,2,Kids,8,101,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do any of the monsters have a circle head?,(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.8112781244591328,2,Do any of the monsters have a circle head?
1053,3,Kids,8,101,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do any of the monsters have a square?,(any (map (lambda x0 (== (shape x0) Square)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.5435644431995954,4.584962500721156,Do any of the monsters have a square head?
1053,4,Kids,8,101,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Do any of the monsters have two legs?,(any (map (lambda x0 (== (legs x0) 2)) (set b r p))),(any (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.9182958340544896,1.584962500721156,Do any of the monsters have two legs?
1054,1,Kids,9,109,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,1.584962500721156,How many legs does the purple monster have?
1054,2,Kids,9,109,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,What shape head is the red monster's?,(shape r),(shape c),NA,0.9999999999999998,4.584962500721156,What shape is the red monster's head?
1054,3,Kids,9,109,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs are there altogether?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,How many legs do all the monsters have combined together?
1054,4,Kids,9,109,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,What shape is the blue monster's head?,(shape b),(shape c),NA,1,2,What shape is the blue monster's head?
1055,1,Kids,9,113,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape is the red monster's head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
1055,2,Kids,9,113,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many monsters have two legs?,(++ (map (lambda x0 (== (legs x0) 2)) (set b r p))),(++ (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,1.3921472236645345,3.169925001442312,How many monsters have two legs?
1055,3,Kids,9,113,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Which monsters have square heads?,NA,NA,invalid,NA,6.1699250014423175,NA
1055,4,Kids,9,113,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Which monsters have two legs?,NA,NA,invalid,NA,5.75488750216347,NA
1056,1,Kids,5,60,legs,bad,baseline,4,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,does the monster have a circle head,NA,NA,ambiguous,NA,4.584962500721156,NA
1056,2,Kids,5,60,legs,bad,baseline,4,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Does the blue monster have a square head?,(== (shape b) Square),(== (shape c) s),NA,1,2,Does the blue monster have a square head?
1056,3,Kids,5,60,legs,bad,baseline,4,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Does the red monster have 1 leg or 2 legs,NA,NA,ambiguous,NA,6.754887502163456,NA
1056,4,Kids,5,60,legs,bad,baseline,4,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have 3 or 2 legs,NA,NA,ambiguous,NA,1.584962500721156,NA
1057,1,Kids,10,125,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,How many monsters have circle heads?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.5,2,How many monsters have a circle head?
1057,2,Kids,10,125,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,How many legs do all the monsters have added together?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,1.584962500721156,1.584962500721156,How many legs do all the monsters have combined together?
1057,3,Kids,10,125,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1.811278124459133,4.584962500721156,How many monsters have a square head?
1057,4,Kids,10,125,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,How many legs is there in total?,(++ (map (lambda x0 (legs x0)) (set b r p))),(++ (map (lambda x0 (legs x0)) (set b r p))),NA,2.5259686330010953,6.754887502163456,How many legs do all the monsters have combined together?
1058,1,Kids,9,115,heads,bad,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Does the blue and purple monsters have each two legs?,(and (== (legs b) 2) (== (legs p) 2)),(and (== (legs c) n) (== (legs c) n)),NA,0.5032583347756454,3.169925001442312,Do the blue monster and the purple monster both have two legs?
1058,2,Kids,9,115,heads,bad,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do all monsters have a square head?,(all (map (lambda x0 (== (shape x0) Square)) (set b r p))),(all (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.5435644431995978,6.1699250014423175,Do all the monsters have a square head?
1058,3,Kids,9,115,heads,bad,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,"Does the red monster have one leg, the purple have two legs, the blue monster have three legs?",(and (and (== (legs r) 1) (== (legs p) 2)) (== (legs b) 3)),(and (and (== (legs c) n) (== (legs c) n)) (== (legs c) n)),NA,0.22853814395352814,5.75488750216347,"Does the red monster have one leg, the purple monster have two legs, and the blue monster have three legs?"
1058,4,Kids,9,115,heads,bad,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a square head or circle head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
1059,1,Kids,5,64,heads,good,exposure,5,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,"um, why is it, what is the legs, 1, 2, __",NA,NA,ambiguous,NA,3.169925001442312,NA
1059,2,Kids,5,64,heads,good,exposure,5,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,"It 3 legs and 1 leg, 2 3 legs",NA,NA,ambiguous,NA,5.75488750216347,NA
1059,3,Kids,5,64,heads,good,exposure,5,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,"1, 2, 3",NA,NA,invalid,NA,6.1699250014423175,NA
1059,4,Kids,5,64,heads,good,exposure,5,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,NA,NA,NA,missing,NA,1,NA
1062,1,Kids,8,106,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many monsters have square heads?,(++ (map (lambda x0 (== (shape x0) Square)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,How many monsters have a square head?
1062,2,Kids,8,106,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs does the red monster have?,(legs r),(legs c),NA,1.584962500721156,5.75488750216347,How many legs does the red monster have?
1062,3,Kids,8,106,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,3.169925001442312,How many legs does the purple monster have?
1062,4,Kids,8,106,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,What shape is the blue monster's head?,(shape b),(shape c),NA,0.9999999999999999,6.1699250014423175,What shape is the blue monster's head?
1064,1,Kids,7,88,heads,good,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Does blue and purple have two legs?,(and (== (legs b) 2) (== (legs p) 2)),(and (== (legs c) n) (== (legs c) n)),NA,0.5032583347756454,3.169925001442312,Do the blue monster and the purple monster both have two legs?
1064,2,Kids,7,88,heads,good,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Does red and blue have two legs?,(and (== (legs r) 2) (== (legs b) 2)),(and (== (legs c) n) (== (legs c) n)),NA,0.5032583347756472,6.1699250014423175,Do the red monster and the blue monster both have two legs?
1064,3,Kids,7,88,heads,good,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Does purple and blue have square heads?,(and (== (shape p) Square) (== (shape b) Square)),(and (== (shape c) s) (== (shape c) s)),NA,1.6017132519074586e-16,5.75488750216347,Do the purple monster and the blue monster both have a square head?
1064,4,Kids,7,88,heads,good,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Do blue and red have circle heads?,(and (== (shape b) Circle) (== (shape r) Circle)),(and (== (shape c) s) (== (shape c) s)),NA,-0,1,Do the blue monster and the red monster both have a circle head?
1065,1,Kids,7,93,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What shape does the red monster have?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
1065,2,Kids,7,93,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs does the blue monster have?,(legs b),(legs c),NA,1.584962500721156,3.169925001442312,How many legs does the blue monster have?
1065,3,Kids,7,93,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,How many legs does the red monster?,(legs r),(legs c),NA,1.584962500721156,6.1699250014423175,How many legs does the red monster have?
1065,4,Kids,7,93,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,What head does the blue monster have?,(shape b),(shape c),NA,0.9999999999999994,5.75488750216347,What shape is the blue monster's head?
1068,1,Kids,6,82,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do any of the monsters have circle heads?,(any (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(any (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,0.5435644431995954,4.584962500721156,Do any of the monsters have a circle head?
1068,2,Kids,6,82,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,NA,NA,NA,bad audio,NA,1.584962500721156,NA
1068,3,Kids,6,82,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the monsters have circle heads?,(and (== (shape r) Circle) (== (shape b) Circle)),(and (== (shape c) s) (== (shape c) s)),NA,0.8112781244591328,2,Do the red monster and the blue monster both have a circle head?
1068,4,Kids,6,82,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do any of the monsters have three legs?,(any (map (lambda x0 (== (legs x0) 3)) (set b r p))),(any (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.8767162889994637,6.754887502163456,Do any of the monsters have three legs?
1069,1,Kids,7,89,heads,bad,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have the same type of head as the blue monster?,(== (shape r) (shape b)),(== (shape c) (shape c)),NA,1,1,Is the red monster's head the same shape as the blue monster's head?
1069,2,Kids,7,89,heads,bad,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs does the purple one have?,(legs p),(legs c),NA,1.584962500721156,5.75488750216347,How many legs does the purple monster have?
1069,3,Kids,7,89,heads,bad,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do the blue and red monsters have the same number of legs as the purple one?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.5032583347756472,6.1699250014423175,Do all the monsters have the same number of legs?
1069,4,Kids,7,89,heads,bad,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do the blue and purple monsters have the same number of legs as the red monster?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.5032583347756454,3.169925001442312,Do all the monsters have the same number of legs?
1072,1,Kids,6,77,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,"The red, the red, monster has a square head",NA,NA,invalid,NA,4.584962500721156,NA
1072,2,Kids,6,77,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,The purple one has 3 legs,NA,NA,invalid,NA,1.584962500721156,NA
1072,3,Kids,6,77,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,The purple has 3 legs,NA,NA,invalid,NA,6.754887502163456,NA
1072,4,Kids,6,77,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,The red one has a square head,NA,NA,invalid,NA,2,NA
1073,1,Kids,7,90,legs,bad,exposure,3,2,3,6,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do the monsters all have three legs?,(all (map (lambda x0 (== (legs x0) 3)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,-1.6017132519074597e-15,4.584962500721156,Do all the monsters have three legs?
1073,2,Kids,7,90,legs,bad,exposure,3,2,3,6,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,*Skips question *,NA,NA,missing,NA,1.584962500721156,NA
1073,3,Kids,7,90,legs,bad,exposure,3,2,3,6,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,"Do all of the monsters have one leg, like the red monster?",(all (map (lambda x0 (== (legs x0) 1)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.22853814395352615,6.754887502163456,Do all the monsters have one leg?
1073,4,Kids,7,90,legs,bad,exposure,3,2,3,6,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,I don't have a question this time,NA,NA,invalid,NA,2,NA
1076,1,Kids,10,127,heads,bad,exposure,3,2,3,2,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do all the monsters have the same number of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.5032583347756472,6.1699250014423175,Do all the monsters have the same number of legs?
1076,2,Kids,10,127,heads,bad,exposure,3,2,3,2,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Do they all have three legs?,(all (map (lambda x0 (== (legs x0) 3)) (set b r p))),(all (map (lambda x0 (== (legs x0) n)) (set b r p))),NA,0.22853814395352814,5.75488750216347,Do all the monsters have three legs?
1076,3,Kids,10,127,heads,bad,exposure,3,2,3,2,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,1,Does the red monster have a circle head?
1076,4,Kids,10,127,heads,bad,exposure,3,2,3,2,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do the purple and blue monsters have two legs each?,(and (== (legs p) 2) (== (legs b) 2)),(and (== (legs c) n) (== (legs c) n)),NA,0.5032583347756454,3.169925001442312,Do the purple monster and the blue monster both have two legs?
1078,1,Kids,7,93,legs,good,exposure,3,2,3,3,3,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Does it have 3 legs,NA,NA,ambiguous,NA,6.754887502163456,NA
1078,2,Kids,7,93,legs,good,exposure,3,2,3,3,3,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Does it have a square head,NA,NA,ambiguous,NA,4.584962500721156,NA
1078,3,Kids,7,93,legs,good,exposure,3,2,3,3,3,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Square and circle,NA,NA,invalid,NA,2,NA
1078,4,Kids,7,93,legs,good,exposure,3,2,3,3,3,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,"Does it have, three legs?",(== (legs p) 3),(== (legs c) n),NA,0.9182958340544896,1.584962500721156,Does the purple monster have three legs?
1080,1,Kids,7,95,heads,bad,exposure,3,2,3,1,2,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Did it all have the same amount of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.5032583347756454,3.169925001442312,Do all the monsters have the same number of legs?
1080,2,Kids,7,95,heads,bad,exposure,3,2,3,1,2,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,How many circle headed monsters are there?,(++ (map (lambda x0 (== (shape x0) Circle)) (set b r p))),(++ (map (lambda x0 (== (shape x0) s)) (set b r p))),NA,1,1,How many monsters have a circle head?
1080,3,Kids,7,95,heads,bad,exposure,3,2,3,1,2,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,Are they all the same?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),NA,0.30954342915032534,5.75488750216347,Do all the monsters have the same number of legs and the same head shape?
1080,4,Kids,7,95,heads,bad,exposure,3,2,3,1,2,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Are they all the same?,(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),(and (=== (map (lambda x0 (legs x0)) (set b r p))) (=== (map (lambda x0 (shape x0)) (set b r p)))),NA,0.18312206830137492,6.1699250014423175,Do all the monsters have the same number of legs and the same head shape?
1081,1,Kids,5,71,legs,bad,exposure,3,2,3,5,6,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Are all of the monsters legs the same number of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.9182958340544896,1.584962500721156,Do all the monsters have the same number of legs?
1081,2,Kids,5,71,legs,bad,exposure,3,2,3,5,6,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,NA,NA,NA,bad audio,NA,4.584962500721156,NA
1081,3,Kids,5,71,legs,bad,exposure,3,2,3,5,6,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,NA,NA,NA,bad audio,NA,2,NA
1081,4,Kids,5,71,legs,bad,exposure,3,2,3,5,6,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Which leg does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,6.754887502163456,How many legs does the purple monster have?
1082,1,Kids,7,88,heads,good,exposure,3,2,3,3,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,What is the shape of the monster's head?,(shape r),(shape c),NA,1,1,What shape is the red monster's head?
1082,2,Kids,7,88,heads,good,exposure,3,2,3,3,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs does the blue monster have?,(legs b),(legs c),NA,1.584962500721156,5.75488750216347,How many legs does the blue monster have?
1082,3,Kids,7,88,heads,good,exposure,3,2,3,3,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,How many legs does the purple monster have?,(legs p),(legs c),NA,1.584962500721156,3.169925001442312,How many legs does the purple monster have?
1082,4,Kids,7,88,heads,good,exposure,3,2,3,3,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,What is the shape of the purple monster's head?,(shape p),(shape c),NA,0.9999999999999999,6.1699250014423175,What shape is the purple monster's head?
1085,1,Kids,9,110,heads,bad,baseline,3,2,3,NA,NA,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,Do they have the same number of legs,NA,NA,ambiguous,NA,6.1699250014423175,NA
1085,2,Kids,9,110,heads,bad,baseline,3,2,3,NA,NA,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,1,Does the red monster have a circle head?
1085,3,Kids,9,110,heads,bad,baseline,3,2,3,NA,NA,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,How many legs do they have,NA,NA,ambiguous,NA,5.75488750216347,NA
1085,4,Kids,9,110,heads,bad,baseline,3,2,3,NA,NA,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Blue one have two legs?,(== (legs b) 2),(== (legs c) n),NA,0.9182958340544896,3.169925001442312,Does the blue monster have two legs?
1086,1,Kids,6,74,heads,good,exposure,4,2,3,2,3,best_heads,best,p_0_1,b_0_0,r_0_0,-1,-1,-1,-1,-1,1,NA,NA,NA,bad audio,NA,6.1699250014423175,NA
1086,2,Kids,6,74,heads,good,exposure,4,2,3,2,3,nonbest_heads,nonbest,r_cir_0,p_cir_0,b_0_0,2,-1,-1,-1,2,-1,What shape is the blue monster's head?,(shape b),(shape c),NA,0.9999999999999994,5.75488750216347,What shape is the blue monster's head?
1086,3,Kids,6,74,heads,good,exposure,4,2,3,2,3,overcomplex_heads,overcomplex,p_cir_1,b_sq_2,r_0_3,-1,3,1,2,2,1,Is the red monster's head a square?,(== (shape r) Square),(== (shape c) s),NA,1,1,Does the red monster have a square head?
1086,4,Kids,6,74,heads,good,exposure,4,2,3,2,3,zero_heads,zero,r_sq_1,b_sq_0,p_cir_0,1,1,1,-1,2,-1,Do the purple monster have three feet?,(== (legs p) 3),(== (legs c) n),NA,0.9182958340544896,3.169925001442312,Does the purple monster have three legs?
1087,1,Kids,9,115,legs,good,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Do the monsters without heads have the same shape head or different shape head?,(== (shape r) (shape b)),(== (shape c) (shape c)),NA,1,2,Is the red monster's head the same shape as the blue monster's head?
1087,2,Kids,9,115,legs,good,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Do all the monsters have the same shape head?,(=== (map (lambda x0 (shape x0)) (set b r p))),(=== (map (lambda x0 (shape x0)) (set b r p))),NA,0.8112781244591322,4.584962500721156,Do all the monsters have the same head shape?
1087,3,Kids,9,115,legs,good,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Do all the monsters have the same number of legs?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.5032583347756443,6.754887502163456,Do all the monsters have the same number of legs?
1087,4,Kids,9,115,legs,good,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have the same number of legs as the other monsters?,(=== (map (lambda x0 (legs x0)) (set b r p))),(=== (map (lambda x0 (legs x0)) (set b r p))),NA,0.9182958340544896,1.584962500721156,Do all the monsters have the same number of legs?
1088,1,Kids,7,95,legs,bad,baseline,3,2,3,NA,NA,zero_legs,zero,p_sq_2,r_0_3,b_0_2,-1,3,-1,2,1,2,Does the red monster have a circle head?,(== (shape r) Circle),(== (shape c) s),NA,1,2,Does the red monster have a circle head?
1088,2,Kids,7,95,legs,bad,baseline,3,2,3,NA,NA,nonbest_legs,nonbest,r_0_1,p_0_3,b_0_0,-1,1,-1,-1,-1,3,Does the blue monster have a circle head and one leg?,(and (== (legs b) 1) (== (shape b) Circle)),(and (== (legs c) n) (== (shape c) s)),NA,0.6500224216483533,4.584962500721156,Does the blue monster have one leg and a circle head?
1088,3,Kids,7,95,legs,bad,baseline,3,2,3,NA,NA,overcomplex_legs,overcomplex,b_sq_3,r_sq_3,p_sq_0,1,3,1,3,1,-1,Does the purple monster have three legs?,(== (legs p) 3),(== (legs c) n),NA,0.9182958340544896,1.584962500721156,Does the purple monster have three legs?
1088,4,Kids,7,95,legs,bad,baseline,3,2,3,NA,NA,best_legs,best,p_cir_0,b_0_0,r_0_0,-1,-1,-1,-1,2,-1,Does the blue monster have 3 or 1 leg,NA,NA,ambiguous,NA,6.754887502163456,NA
